date_added,id,category,display,state,city,lat,lon,radius,name,name_catalog,notes,keywords
4/16/2020,341,"outdoor, sports",,,,,,,GET A GRIP,,,"Rock, Climbing, Sport, Summer"
9/30/2013,67,art,,,,,,,Blush,,,pink flower plant abstract
9/30/2013,69,art,,,,,,,Fresh,,,green flower plant succulent abstract
9/30/2013,70,art,,,,,,,Splash,,,blue water art abstract
9/30/2013,68,art,,,,,,,Vivid,,,"abstract heritage woven stripes colors, "
1/1/2012,19,arvest,0,,,,,,Arvest Private Banking,,should not come up in the search,
10/15/2013,141,public,,,,,,,Police,,,law badge service public officer emergency responder 911 cop cops
10/15/2013,142,public,,,,,,,Paramedics,,,paramedic service public ambulance emergency responder 911 emt
11/29/2016,262,public,,AR,Bentonville,36.36785,-94.21044,30,Bentonville Library,,,bentonville libraries books library education
10/15/2013,143,public,,,,,,,Medical Services,,,scrubs stethoscope service public emergency responder doctor nurse 911 emt
10/15/2013,144,public,,,,,,,Fire Rescue,,,helmet fireman firemen service public emergency responder 911
2/25/2014,93,college,,AR,,,,,Arkansas Tech,,,university college russellville green gold wonder boys
10/19/2017,272,college,,AR,,,,,Arkansas College of Osteopathic Medicine,,,"arcom, colleges, arkansas colleges, osteopathic medicine, med schools, fort smith"
8/15/2013,116,college,,AR,,,,,ASU Mountain Home,,,arkansas university
10/18/2018,312,college,,AR,,,,,ASU Jonesboro Red Wolves,,,"ASU, Arkansas State University, Red Wolves, Jonesboro, Scarlet, Black"
3/8/2018,284,college,,AR,,,,, Central Baptist College,,,"central baptist college, central baptist, cbc, mustangs, conway, "
8/15/2013,83,college,,AR,,,,,John Brown University,,,Arkansas JBU  Siloam Springs royal blue gold Golden Eagles
8/15/2013,119,college,,AR,,,,,Rich Mountain Community College,,,Arkansas College Mena
8/15/2013,117,college,,AR,,,,,University of Arkansas Fort Smith,,,Arkansas University UAFS navy blue white
8/28/2015,222,college,,AR,,,,,National Park Community College,,,hot springs arkansas community college national park
8/15/2013,130,college,,AR,,,,,NORTHARK COLLEGE,,,Arkansas Harrison Berryville
8/15/2014,180,college,,AR,,,,,NWACC,,,Bentonville Arkansas Northwest Arkansas eagles green community college
6/26/2015,205,college,,AR,,,,,University of Central Arkansas,,,university central arkansas conway victor bear grey purple
8/26/2015,213,college,,AR,,,,,Hendrix College,,,Hendrix Conway Arkansas Ivan Warrior black orange
3/8/2018,285,college,,KS,,,,,Calvary University,,,"calvary university, calvary, kansas city, warriors"
8/15/2013,35,college,,KS,,,,,Neosho County Community College,,,College Chanute Kansas orange black panthers
